編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
27,大河戀高樓層景觀戶大四房雙平車~,,新竹縣竹北市興隆路一段001-049號,竹北市,2670,44.39,9-9/15,13.5,80.630,有車位/含車位23.860坪
28,全民時代景觀三房平車,,新竹縣竹北市福竹街052-100號,竹北市,2080,37.46,8-8/14,12.4,55.530,有車位
29,【專任】中山世紀｜美裝潢2房平面車位秒殺戶,,新竹市香山區中山路640巷152-200號,香山區,1580,40.34,5-5/13,9.5,39.170,有車位
30,王爺壟｜和峻沐光｜高樓層無限視野兩房B1大平車,,新竹縣湖口鄉達生八街052-100號,湖口鄉,1037.5,34.32,8-8/10,1.4,33.120,有車位/含車位7.260坪
31,《竹科、X計畫》啟奧邦城四房高樓層視野戶,,新竹市東區公道五路二段351-399號,東區,2880,50.54,13-13/13,18.3,56.990,有車位
32,大魯閣旁『武陵中正』親民低總價三房,,新竹市北區武陵路151-199號,北區,938,29.94,4-4/15,30.2,31.330,無車位
33,獨家專任~稀有出售~昌益寶璽美4房(社區管理),,新竹市北區和平路052-100號,北區,1176,30.63,3-3/10,26.1,38.390,無車位
34,紐約小品,,新竹縣新豐鄉建興路二段602-650號,新豐鄉,730,30.89,6-6/7,6.8,23.630,無車位
35,花漾城高樓海景兩房＋平車,,新竹市北區西濱路一段151-199號,北區,1006,30.77,14-14/15,3.4,39.470,有車位/含車位11.650坪
36,湖口工業區警衛管理三房外棟好採光附平面車位,,新竹縣湖口鄉國強街002-050號,湖口鄉,1045,25.03,3-3/12,0.9,41.810,有車位/含車位6.050坪
37,近新莊車站學士園首購成家三房含車位,,新竹市東區新莊街052-100號,東區,1250,36.7,7-7/7,32.1,34.060,有車位
38,東南街零公設採光兩房近麗池公園後站商圈,,新竹市東區東南街167巷53弄001-049號,東區,450,29.3,4-4/4,47.4,15.360,無車位
