週期,縣市,編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
2026-01-13_01-19,新竹縣,1,新豐松林國小一樓便宜投資美公寓,,新竹縣新豐鄉康樂路一段200巷22弄,新豐鄉,405,19.7,1-1/4,41.9,20.560,無車位
2026-01-13_01-19,新竹縣,2,俠隱築科,,新竹縣竹北市莊敬六街11號11樓之2,竹北市,1589,53.33,11-11/15,20.4,36.880,有車位/含車位9.900坪
2026-01-13_01-19,新竹縣,3,站前學府【文匯館】,,新竹縣新豐鄉學府街72巷002-050號,新豐鄉,980,37.93,2-2/7,8.1,25.840,有車位
2026-01-13_01-19,新竹市,4,知愛雅舍,,新竹市東區埔頂路,東區,1750,36.72,5-5/5,22.3,47.660,有車位
2026-01-13_01-19,新竹縣,5,國賓大悅,,新竹縣竹北市勝利八街一段201-249號,竹北市,1790,56.1,26-26/27,9.8,38.250,有車位/含車位9.020坪
2026-01-13_01-19,新竹縣,6,(專任)好日子農舍,,新竹縣湖口鄉千禧路98巷,湖口鄉,2550,33.49,1-2/2,26.4,76.150,無車位
2026-01-13_01-19,新竹縣,7,放翁清境稀有獨棟別墅,,新竹縣竹東鎮學府東路352-400號,竹東鎮,3890,28.86,-1-4/4,19.3,134.780,有車位
2026-01-13_01-19,新竹市,8,笎坤世璽,,新竹市北區中清路一段,北區,1388,29.47,3-3/7,7,47.100,有車位
2026-01-13_01-19,新竹縣,9,錦永青耘,,新竹縣新豐鄉明新街,新豐鄉,1395,39.05,2-2/5,1.5,35.720,有車位
2026-01-13_01-19,新竹縣,10,(專任)遠百「豐采520」,,新竹縣竹北市勝利一路B23棟15樓,竹北市,1100,48.99,15-15/25,未提供,26.370,有車位/含車位8.000坪
2026-01-13_01-19,新竹縣,11,仁發富悅,,新竹縣竹北市十興路二段102-150號,竹北市,2650,61.48,12-12/14,6.5,50.910,有車位/含車位11.060坪
2026-01-13_01-19,新竹市,12,專任【新竹之昇】C5棟,,新竹市東區食品路11樓,東區,3300,60.1,11-11/30,未提供,64.320,有車位/含車位18.730坪
2026-01-13_01-19,新竹縣,13,專任【春福東綻】,,新竹縣竹東鎮北興路三段,竹東鎮,1668,42.89,14-14/15,2.5,41.930,有車位/含車位6.540坪
2026-01-13_01-19,新竹縣,14,仁發喜悅,,新竹縣竹北市日興一街,竹北市,1590,62.78,5-5/14,4.8,33.230,有車位/含車位11.090坪
2026-01-13_01-19,新竹縣,15,【市政首璽】,,新竹縣新埔鎮福德街401-449號,新埔鎮,1380,42.45,13-13/15,2.8,38.630,有車位/含車位9.660坪
2026-01-13_01-19,新竹市,16,中榮大樓~光榮世家,,新竹市東區光復路一段373號7樓之5,東區,1020,49.9,7-7/14,24.6,20.440,無車位
2026-01-13_01-19,新竹縣,17,《專任》星都匯C區,,新竹縣竹東鎮旭光一路202-250號,竹東鎮,1735,36.49,7-7/14,1.2,47.550,有車位
2026-01-13_01-19,新竹縣,18,專任富來新苑,,新竹縣湖口鄉德和路10巷60弄001-049號,湖口鄉,1280,25.3,8-8/13,0.8,50.590,有車位
2026-01-13_01-19,新竹縣,19,專任『微風名園』,,新竹縣新埔鎮福德街,新埔鎮,1360,33.34,4-4/14,6.3,46.420,有車位/含車位10.130坪
2026-01-13_01-19,新竹縣,20,【竹北中華路】碧友富貴金店面,,新竹縣竹北市中華路851-899號,竹北市,1250,70.58,1-1/10,12.2,17.710,無車位
2026-01-13_01-19,新竹市,21,野村賞持,,新竹市北區境福街002-050號,北區,1550,32,2-2/7,13.7,48.780,有車位/含車位5.040坪
2026-01-13_01-19,新竹市,22,春福江山,,新竹市東區明湖路1050巷,東區,538,24.29,5-5/5,31.4,22.150,無車位
2026-01-13_01-19,新竹縣,23,元邦大國,,新竹縣竹東鎮自由街120巷,竹東鎮,680,23.78,3-3/11,29.3,28.600,無車位
2026-01-13_01-19,新竹縣,24,竹東中豐路低總價透天,,新竹縣竹東鎮中豐路二段155巷1弄,竹東鎮,720,23.83,1-2/2,未提供,30.210,無車位
2026-01-13_01-19,新竹縣,25,專任五豐八莊透天,,新竹縣竹東鎮五豐八莊,竹東鎮,315,8.92,1-3/3,47.3,35.310,無車位
2026-01-13_01-19,新竹縣,26,稀有釋出!竹東【春城一期】,,新竹縣竹東鎮東榮路151巷,竹東鎮,1550,22.43,1-4/4,13.9,69.110,有車位
2026-01-13_01-19,新竹縣,27,【湖口市區】品苑電梯華廈,,新竹縣湖口鄉光明街001-049號,湖口鄉,1168,27.96,5-5/5,8.3,41.780,有車位
2026-01-13_01-19,新竹市,28,巨城三民｜大空間三房美寓,,新竹市東區民主路57巷5弄001-049號,東區,670,24.22,2-2/4,47.8,27.660,無車位
2026-01-13_01-19,新竹縣,29,【玫瑰華城】,,新竹縣湖口鄉德興路242巷,湖口鄉,500,19.58,2-2/6,31.3,25.530,無車位
2026-01-13_01-19,新竹縣,30,賺錢明星,,新竹縣新豐鄉康樂路一段361巷34弄,新豐鄉,738,19.96,3-3/7,17.2,36.980,無車位
2026-01-13_01-19,新竹市,31,新竹之昇B5棟,,新竹市東區食品路6樓,東區,3430,64.67,6-6/30,未提供,68.830,有車位/含車位18.730坪
2026-01-13_01-19,新竹市,32,巨城5分．春福君邸,,新竹市北區仁德街,北區,3360,47.63,4-4/15,12,75.410,有車位/含車位8.020坪
2026-01-13_01-19,新竹市,33,磐龍16米大面寬店面,,新竹市東區中央路101-149號,東區,9800,79.87,1-1/23,7.4,122.700,有車位
2026-01-13_01-19,新竹市,34,惠宇天晴,,新竹市東區埔頂一路151-199號,東區,3588,68.95,6-6/17,11.7,58.860,有車位/含車位9.000坪
2026-01-13_01-19,新竹市,35,悠行館,,新竹市香山區中華路五段752-800號,香山區,1300,31.58,5-5/13,1.7,46.730,有車位/含車位10.320坪
2026-01-13_01-19,新竹市,36,南寮獨棟大面寬透天,,新竹市北區嘉濱路12巷001-049號,北區,1460,22.85,1-3/3,26.5,63.900,無車位
2026-01-13_01-19,新竹市,37,敦煌,,新竹市東區中央路152-200號,東區,3600,39.66,22-22/29,18.4,90.770,有車位
2026-01-13_01-19,新竹市,38,專任新竹富春居,,新竹市東區埔頂一路,東區,1538,66.53,15-15/21,5.9,33.930,有車位/含車位13.070坪
2026-01-13_01-19,新竹縣,39,美！元邦大國樣品採光3房,,新竹縣竹東鎮自由街120巷5號8樓之1,竹東鎮,830,28.41,8-8/11,29.3,29.220,有車位
2026-01-13_01-19,新竹縣,40,專任!【春福上河】,,新竹縣竹北市社崙二街002-050號,竹北市,2780,46.59,12-12/15,4.8,77.500,有車位/含車位24.270坪
2026-01-13_01-19,新竹市,41,【國泰禾3房】,,新竹市東區介壽路001-049號,東區,2650,81.06,5-5/22,5.5,41.340,有車位/含車位10.870坪
2026-01-13_01-19,新竹縣,42,專任｜勝利首席,,新竹縣竹北市勝利八街一段301-349號,竹北市,2740,65.1,11-11/14,8.4,47.880,有車位/含車位8.100坪
2026-01-13_01-19,新竹縣,43,和興鎮 3+1房,,新竹縣湖口鄉德和路76巷46弄20號5樓,湖口鄉,650,14.38,5-5/5,25.3,45.190,有車位
2026-01-13_01-19,新竹縣,44,專任河岸景觀青川之上,,新竹縣竹北市興隆路一段523號14樓,竹北市,5500,55.4,14-14/24,12.9,120.450,有車位/含車位29.300坪
2026-01-13_01-19,新竹縣,45,獨家/竹北/台裕竹北城,,新竹縣竹北市中華路405巷11弄,竹北市,655,27.97,1-1/8,32.5,23.420,有車位
2026-01-13_01-19,新竹縣,46,專任【富宇雲極】,,新竹縣竹北市勝利八街二段101-149號,竹北市,3110,62.27,12-12/23,9.5,56.570,有車位/含車位9.040坪
2026-01-13_01-19,新竹市,47,長和街美套房,,新竹市北區長和街20巷3號2樓,北區,200,14.61,2-2/5,31.6,13.690,無車位
2026-01-13_01-19,新竹市,48,帝王庭園2,,新竹市東區長春街158巷1弄,東區,1350,37.76,4-4/5,35.3,45.340,有車位/含車位12.240坪
2026-01-13_01-19,新竹縣,49,竹北阿信邊間三房,,新竹縣竹北市新民街326巷,竹北市,900,27.57,3-3/7,30.2,32.650,有車位
2026-01-13_01-19,新竹縣,50,京御苑 3房,新業京御苑,新竹縣竹北市光明六路【新業京御苑】E棟5樓,竹北市,2288,57.52,5-5/26,未提供,37.690,有車位/含車位9.200坪
2026-01-13_01-19,新竹縣,51,竹東高中｜大地坪透店Ｂ,,新竹縣竹東鎮東寧路二段172號,竹東鎮,1213,16.01,-1-3/3,69.8,75.750,有車位
2026-01-13_01-19,新竹縣,52,華固富廣Vision,,新竹縣竹北市福興東路一段,竹北市,3760,38.76,4-4/15,20.3,97.000,有車位
2026-01-13_01-19,新竹縣,53,興希望溫馨裝潢兩房,,新竹縣竹北市北新一街,竹北市,1752,54.67,17-17/24,6.9,37.820,有車位/含車位8.520坪
2026-01-13_01-19,新竹縣,54,專任！！橫山沙坑美透天,,新竹縣橫山鄉沙坑街24號,橫山鄉,265,14.29,1-1/1,46.3,18.550,無車位
2026-01-13_01-19,新竹市,55,煙波行館 3房+車位,,新竹市北區天府路一段501-549號,北區,940,25.71,8-8/14,17.8,38.010,有車位/含車位5.350坪
2026-01-13_01-19,新竹縣,56,竹東高中｜大地坪透店A,,新竹縣竹東鎮東寧路二段170號,竹東鎮,1287,15.82,-1-3/3,70,81.330,有車位
2026-01-13_01-19,新竹縣,57,竹北華興｜力天品儒,,新竹縣竹北市新光街051-099號,竹北市,2160,50.21,6-6/10,2,50.600,有車位/含車位10.970坪
2026-01-13_01-19,新竹縣,58,新豐煙波假期透天,,新竹縣新豐鄉康和路156巷002-050號,新豐鄉,1280,30.65,1-3/3,22.7,41.760,無車位
2026-01-13_01-19,新竹市,59,湳雅光華三房美寓,,新竹市北區水田街196巷4號4樓,北區,412,19.26,4-4/4,未提供,21.390,無車位
2026-01-13_01-19,新竹市,60,磐龍3 武陵居,,新竹市北區鐵道路二段351-399號,北區,1650,51.82,16-16/23,3.5,37.850,有車位/含車位9.870坪
2026-01-13_01-19,新竹縣,61,科學園區旁漂亮3房,,新竹縣寶山鄉明湖路,寶山鄉,850,27.35,7-7/7,32.5,31.080,無車位
2026-01-13_01-19,新竹市,62,竹科悅揚美兩房,,新竹市東區埔頂二路052-100號,東區,1900,70.47,13-13/24,5.2,33.160,有車位/含車位8.330坪
2026-01-13_01-19,新竹縣,63,新豐【煙波海宴】,,新竹縣新豐鄉明新街426巷001-049號,新豐鄉,1070,27.83,5-5/6,21.3,38.450,無車位
2026-01-13_01-19,新竹縣,64,昌益里仁唯美,,新竹縣竹北市成功三路150號9樓,竹北市,2335,47.44,9-9/10,21.2,49.220,有車位
2026-01-13_01-19,新竹市,65,快樂頌-錢進時代,,新竹市香山區中華路四段705-9號6樓,香山區,195,23.78,6-6/6,18.7,8.200,無車位
2026-01-13_01-19,新竹縣,66,縣三巨人,,新竹縣竹北市勝利十一路252-300號,竹北市,1600,59.59,23-23/23,9.4,33.420,有車位/含車位9.090坪
2026-01-13_01-19,新竹市,67,森林首席E棟,,新竹市北區武陵路,北區,2450,53.18,3-3/14,未提供,51.720,有車位/含車位9.700坪
2026-01-13_01-19,新竹縣,68,「青年城」美透天,,新竹縣竹東鎮北興路二段196巷001-049號,竹東鎮,2050,36.8,1-4/4,12,55.710,無車位
2026-01-13_01-19,新竹縣,69,高鐵特區｜遠雄鉑悅,,新竹縣竹北市嘉豐北路16號22樓,竹北市,1580,79.82,22-22/23,6.4,24.220,有車位/含車位5.430坪
2026-01-13_01-19,新竹市,70,虎林國中3房平車,,新竹市香山區虎林街107巷18弄001-049號,香山區,505,15.55,4-4/5,31.3,32.470,有車位
2026-01-13_01-19,新竹縣,71,東方新都NO6,,新竹縣竹東鎮光武街81巷002-050號,竹東鎮,500,11.92,3-4/6,28.8,41.960,有車位
2026-01-13_01-19,新竹市,72,經國艷,,新竹市北區經國路二段151-199號,北區,760,52.63,10-10/11,17.4,16.950,有車位/含車位4.030坪
2026-01-20_01-26,新竹縣,1,專任星都心(住宅)景觀3房9樓+平面車位,,新竹縣竹東鎮光明路188巷002-050號,竹東鎮,1780,38.86,9-9/14,7.1,45.810,有車位
2026-01-20_01-26,新竹市,2,金雅公園旁3房+平面車位~美屋況,,新竹市北區金雅路133巷8弄002-050號,北區,900,26.81,3-3/5,31.8,33.570,有車位
2026-01-20_01-26,新竹市,3,獨家武陵湳雅大魯閣全新整理美三房,,新竹市北區湳雅街126巷21弄002-050號,北區,795,29.65,2-2/5,未提供,26.810,無車位
2026-01-20_01-26,新竹市,4,中華大學套房NO：101,,新竹市香山區至善街37巷40號,香山區,200,22.55,1-1/5,28.7,8.870,無車位
2026-01-20_01-26,新竹市,5,大全聯/大魯閣商圈-荷蘭村C區大棟距三房樹海戶,,新竹市北區武陵路175巷001-049號,北區,1050,29.86,6-6/21,27.7,35.160,無車位
2026-01-20_01-26,新竹市,6,竹科大門口｜高檔貨國泰禾朝南高樓視野戶,,新竹市東區介壽路001-049號,東區,2960,77.02,17-17/22,5.5,47.350,有車位/含車位10.870坪
2026-01-20_01-26,新竹市,7,市區巨城曙光綠園道公園精美3房健身宅,,新竹市東區北大路92巷40弄001-049號,東區,709,23.35,5-5/5,41.4,30.360,無車位
2026-01-20_01-26,新竹縣,8,專任縣三山璞翰林富苑近AI園區高樓層3房平車,,新竹縣竹北市莊敬三路201-249號,竹北市,3150,61.28,19-19/27,10.4,59.670,有車位/含車位10.720坪
2026-01-20_01-26,新竹市,9,近園區_生活大賞質感美2房,,新竹市東區明湖路1050巷252-300號,東區,708,30.76,4-4/9,28.7,23.020,無車位
2026-01-20_01-26,新竹縣,10,專任合石一緒．大兩房．溫柔陽光舒適舒心,,新竹縣竹北市勝利十五街256號14樓之1,竹北市,2568,61.73,14-14/14,5.4,41.600,有車位
2026-01-20_01-26,新竹縣,11,新鮮貨專任文鼎大苑高樓朝南視野戶雙平車,,新竹縣竹北市勝利八街一段201-249號,竹北市,3980,54.61,15-15/19,12.8,89.240,有車位/含車位21.860坪
2026-01-20_01-26,新竹市,12,新竹悠行館低樓層大露台絕美美3房平車,,新竹市香山區中華路五段752-800號,香山區,1250,26.52,2-2/13,1.7,47.130,有車位
2026-01-20_01-26,新竹市,13,新竹之昇八大學區朝南視野大三房,新竹之昇,新竹市東區食品路【新竹之昇】B3棟20樓,東區,3400,64.34,20-20/30,未提供,59.870,有車位/含車位9.370坪
2026-01-20_01-26,新竹市,14,獨家『四季悅舍』北區經國路二段溫馨小豪宅,,新竹市北區經國路二段160號6樓之26,北區,620,47.88,6-6/10,17.7,12.950,無車位
2026-01-20_01-26,新竹市,15,市中心美套房,,新竹市北區林森路73號10樓之2,北區,310,43.66,10-10/12,37.2,7.100,無車位
2026-01-20_01-26,新竹市,16,牛津生活｜頂埔國小三房附車位《結構生活的新起點》,,新竹市香山區頂埔路22巷001-049號,香山區,810,24.15,3-3/10,30.8,33.540,有車位
2026-01-20_01-26,新竹縣,17,專任!高鐵公園首排【哈洛德】東興學區/全機能地段,,新竹縣竹北市復興三路二段102-150號,竹北市,3920,58.86,11-11/23,11.5,66.600,有車位
2026-01-20_01-26,新竹縣,18,京璽社區型邊間美透天附兩個平面車位,,新竹縣竹北市鳳岡路二段316巷108弄002-050號,竹北市,1580,35.06,1-4/4,5.6,45.070,有車位
2026-01-20_01-26,新竹市,19,專任八大學區SRC-新竹之昇主30雙車,新竹之昇,新竹市東區食品路【新竹之昇】B3棟17樓,東區,3460,63.55,17-17/30,未提供,69.240,有車位/含車位18.730坪
2026-01-20_01-26,新竹市,20,師院邊間別墅店面,,新竹市東區振興路102-150號,東區,2550,32.97,1-5/5,10.9,77.350,有車位
2026-01-20_01-26,新竹縣,21,專任-高鐵歌德堡次頂樓大三房B1雙車,,新竹縣竹北市嘉豐三街002-050號,竹北市,2580,47.24,10-10/11,19,65.410,有車位/含車位17.150坪
2026-01-20_01-26,新竹縣,22,【專任】華興商圈超值活巷透天,,新竹縣竹北市華興街86巷001-049號,竹北市,1130,43.1,1-2/2,未提供,26.220,無車位
2026-01-20_01-26,新竹縣,23,大觀自若水岸景觀豪宅,,新竹縣竹北市興隆路三段151-199號,竹北市,8000,42.09,18-18/26,10.3,190.070,有車位
2026-01-20_01-26,新竹縣,24,【專任】湖口理享城兩房+平面車位,,新竹縣湖口鄉德和路10巷051-099號,湖口鄉,780,25.67,7-7/11,1,33.270,有車位/含車位6.790坪
2026-01-20_01-26,新竹縣,25,大囍宴中崙兩房華廈,,新竹縣新豐鄉中崙301-349號,新豐鄉,400,17.51,1-1/7,28.7,22.850,無車位
2026-01-20_01-26,新竹市,26,建林新竹之昇SRC近東園小學大三房雙車位,新竹之昇,新竹市東區食品路【新竹之昇】C3棟5樓,東區,3105,61.15,5-5/30,未提供,66.230,有車位/含車位18.730坪
2026-01-20_01-26,新竹市,27,繁華的地段，擁有舒服的自由空間世界島大四房雙車位,,新竹市東區崇和路001-049號,東區,3960,47.82,2-2/23,11.2,82.810,有車位
2026-01-20_01-26,新竹縣,28,近園區工研院環球市3改2美裝潢平車,,新竹縣竹東鎮光明路126巷87弄002-050號,竹東鎮,1540,36.57,13-13/14,11,46.670,有車位/含車位8.670坪
2026-01-20_01-26,新竹縣,29,【椰林大道】東興學區 朝東南大四房連號雙平車,,新竹縣竹北市嘉豐南路二段152-200號,竹北市,3606,56.29,10-10/12,18.4,72.460,有車位/含車位13.730坪
2026-01-20_01-26,新竹市,30,南寮榮濱｜大面寬田型邊間透天《屋況讚！有孝親房》,,新竹市北區榮濱路48巷12弄002-050號,北區,1060,29.59,1-3/3,46.7,35.820,無車位
2026-01-20_01-26,新竹縣,31,近竹北高鐵【那山1】芎林金獅重劃區•社區型美透天,,新竹縣芎林鄉金獅三街5巷002-050號,芎林鄉,2150,40.66,1-5/5,3,52.880,無車位
2026-01-20_01-26,新竹市,32,【專】高峰路活巷大面寬透天近清大科學園區需整理,,新竹市東區高峰路386巷71弄16號,東區,720,42.55,1-1/1,47.7,16.920,無車位
2026-01-20_01-26,新竹市,33,四季悅舍｜高樓視野魔術大空間美室,,新竹市北區經國路二段152-200號,北區,980,34.76,9-9/10,17.7,28.190,無車位
2026-01-20_01-26,新竹縣,34,獨家～竹東【煙波VOHA】無限視野3改2房+平車,,新竹縣竹東鎮北興路二段251-299號,竹東鎮,1700,40.63,13-13/13,8.1,47.780,有車位/含車位9.640坪
2026-01-20_01-26,新竹市,35,近園區24小時警衛管理2+1房附平面車位,,新竹市東區明湖路1050巷002-050號,東區,780,21.31,3-3/5,32.5,36.600,有車位
2026-01-20_01-26,新竹市,36,專任新竹市自由大道4房平車 近親子館運動館,,新竹市香山區中華路四段252-300號,香山區,1760,32.99,2-2/12,10.9,59.080,有車位/含車位10.280坪
2026-01-20_01-26,新竹市,37,巨城百貨｜全新整理大三房美寓《新竹女中走路上課》,,新竹市東區民權路96巷002-050號,東區,810,26.74,4-4/5,37.5,30.290,無車位
2026-01-20_01-26,新竹市,38,地點超棒～光復國宅視野戶,,新竹市東區建新路052-100號,東區,1788,42.26,13-13/15,28.4,42.310,有車位
2026-01-20_01-26,新竹縣,39,竹北縣政十八全新整理大透天,,新竹縣竹北市縣政十八街052-100號,竹北市,1688,41.68,1-2/2,30.8,40.500,無車位
2026-01-20_01-26,新竹縣,40,專任~竹東麥當勞商圈｜長春路四大房透天,,新竹縣竹東鎮長春路三段336巷002-050號,竹東鎮,1050,19.47,1-3/3,38.8,53.920,有車位
2026-01-20_01-26,新竹市,41,麗法苑｜三面採光｜溫馨美三房,,新竹市東區經國路一段398巷1弄001-049號,東區,1300,42.71,8-8/8,未提供,34.920,有車位/含車位8.000坪
2026-01-20_01-26,新竹縣,42,水岸之最｜水墨白千萬裝潢樓中樓極美宅+五車｜,,新竹縣竹北市興隆路五段151-199號,竹北市,6700,50.21,21-22/22,16.2,172.260,有車位/含車位50.790坪
2026-01-20_01-26,新竹縣,43,新豐雙學區行政中心超大面寬邊間整棟電梯透天,,新竹縣新豐鄉復興街002-050號,新豐鄉,2050,21.7,1-4/4,17.8,94.450,無車位
2026-01-20_01-26,新竹縣,44,王爺壟旁晴空宅｜稀有2房車位,,新竹縣湖口鄉信興路350巷002-050號,湖口鄉,810,24.24,2-2/7,3.7,35.360,有車位/含車位6.080坪
2026-01-20_01-26,新竹縣,45,專任-綠光森林17社區管理雙車美透天,,新竹縣竹北市聯興三街136巷51弄102-150號,竹北市,2020,28.54,1-4/4,10.7,70.780,有車位
2026-01-20_01-26,新竹縣,46,沐朝陽3+1房｜邊間三面採光視野戶+B1雙平車,,新竹縣竹東鎮朝陽路102-150號,竹東鎮,2184,42.74,14-14/15,1.4,61.220,有車位/含車位17.140坪
2026-01-20_01-26,新竹市,47,獨家專任市區全新聚吉第溫馨三房美宅,,新竹市北區中華路三段49號2樓之1,北區,2080,44.91,2-2/15,0.6,50.230,有車位/含車位8.710坪
2026-01-20_01-26,新竹縣,48,【合新詠遇】全新高鐵走路4分鐘外棟邊間3房+平車,,新竹縣竹北市光明六路東二段651-699號,竹北市,2858,68.39,13-13/15,0.9,47.480,有車位/含車位9.130坪
2026-01-20_01-26,新竹市,49,低於實登！專任【煙波主人】溫馨美妝大套房（二）,,新竹市東區明湖路751號地下室4層之30,東區,400,26.21,-4--4/3,21.1,15.260,無車位
2026-01-20_01-26,新竹市,50,城隍廟商圈/棒球場.北門新市場旁金透店,,新竹市北區仁德街052-100號,北區,1398,58.03,1-4/4,57.1,24.090,無車位
2026-01-20_01-26,新竹縣,51,芎林馥御文昌2+1房兩衛B4,,新竹縣芎林鄉文昌街052-100號,芎林鄉,1156,49.98,4-4/10,2.2,23.130,無車位
2026-01-20_01-26,新竹縣,52,星都匯A區採光3+1室配B1平車,,新竹縣竹東鎮旭光一路101-149號,竹東鎮,1868,43.58,5-5/14,2.5,48.890,有車位/含車位9.470坪
2026-01-20_01-26,新竹縣,53,專任縣府｜新業京御苑｜首購大兩房雙衛浴+平車,新業京御苑,新竹縣竹北市光明六路【新業京御苑】F棟10樓,竹北市,2200,61.72,10-10/26,未提供,42.900,有車位/含車位9.200坪
2026-01-20_01-26,新竹市,54,專市中心稀有陽台車位戶15坪美套房SOGO123,,新竹市北區中華路三段002-050號,北區,680,29.37,5-5/14,26,23.150,有車位
2026-01-20_01-26,新竹縣,55,成功學區{凡爾賽花園}翻新美透天獨立車庫,,新竹縣竹北市縣政三街11巷001-049號,竹北市,2550,30.32,1-4/4,31.3,84.090,無車位
2026-01-20_01-26,新竹市,56,美學苑｜質感品味三房附平車《中高樓層、遼闊視野》,,新竹市北區經國路二段501-549號,北區,1620,38.29,7-7/13,19.3,42.310,有車位
2026-01-20_01-26,新竹市,57,新竹經國路商業區雙臨路邊間住店賺錢透天,,新竹市北區經國路二段201-249號,北區,3500,25.74,1-4/4,未提供,135.980,無車位
2026-01-20_01-26,新竹縣,58,超低價信義街華廈,,新竹縣湖口鄉信義街001-049號,湖口鄉,315,14,4-4/7,33.1,22.500,無車位
2026-01-20_01-26,新竹市,59,專任春福大地低總價旺財2+1房,,新竹市東區明湖路1050巷001-049號,東區,578,20.37,1-1/5,32.8,28.370,無車位
2026-01-20_01-26,新竹市,60,『瑞典綠洲』竹科Ｘ計劃東園培英『大三房平車』,,新竹市東區東新路118號14樓,東區,2564,65.43,14-14/15,5.5,47.940,有車位/含車位11.050坪
2026-01-20_01-26,新竹縣,61,竹北台大商務套房高樓景觀戶,,新竹縣竹北市勝利六街052-100號,竹北市,538,50.05,10-10/10,22.1,10.750,無車位
2026-01-20_01-26,新竹市,62,巨城民生｜低總價全新兩房美廈《三民學區走路上課》,,新竹市東區民生路10巷17弄002-050號,東區,912,51.88,1-1/4,1.2,17.580,無車位
2026-01-27_02-02,新竹縣,1,專任~台大傳家~十興國小/勝利國中學區,,新竹縣竹北市莊敬北路102-150號,竹北市,1660,61.3,5-5/10,21,35.770,有車位/含車位11.140坪
2026-01-27_02-02,新竹縣,2,竹北西區田園雅邸｜靜謐生活首選｜邊間透天,,新竹縣竹北市聯興三街136巷051-099號,竹北市,1380,26.76,1-4/4,32.3,51.570,有車位
2026-01-27_02-02,新竹縣,3,專任～台泥商圈幸福大三房華廈~低公設,,新竹縣竹東鎮幸福路48巷002-050號,竹東鎮,1500,33.32,3-3/5,4.5,45.020,有車位
2026-01-27_02-02,新竹市,4,湳雅｜大魯閣｜品禾｜金雅｜光華學區大三房美裝平車,,新竹市北區金雅西街123巷001-049號,北區,1778,44.01,6-6/10,5.9,45.600,有車位/含車位8.610坪
2026-01-27_02-02,新竹市,5,【專】田字邊間透天住店｜面舊社國小 |大潤發商圈,,新竹市北區金竹路107巷002-050號,北區,2070,47.65,1-2/2,40.1,43.440,無車位
2026-01-27_02-02,新竹縣,6,上館國小溫馨2+1房,,新竹縣竹東鎮幸福路121巷7號8樓,竹東鎮,500,17.14,8-8/13,30.7,29.180,無車位
2026-01-27_02-02,新竹市,7,光復園區套房,,新竹市東區光復路一段002-050號,東區,285,29.5,5-5/7,35.5,9.660,無車位
2026-01-27_02-02,新竹縣,8,湖口東區-蘭州電梯二房便宜投資美廈,,新竹縣湖口鄉蘭州四街4號2樓,湖口鄉,420,21.52,2-2/5,31.7,19.520,無車位
2026-01-27_02-02,新竹縣,9,竹北遠百俠隱高樓採光裝潢美屋,,新竹縣竹北市莊敬六街001-049號,竹北市,826,65.97,10-10/15,20.4,12.520,無車位
2026-01-27_02-02,新竹市,10,陽明采邑:新科國中，竹科旁稀有三房,,新竹市東區光復路一段051-099號,東區,920,30.7,7-7/12,32.3,29.970,無車位
2026-01-27_02-02,新竹市,11,中華大學3投套no32,,新竹市香山區柯湳一街80巷002-050號,香山區,315,17.89,3-3/5,24.9,17.610,無車位
2026-01-27_02-02,新竹市,12,市中心近遠百【亦樂靜居】超美二房加車位,,新竹市北區中山路101-149號,北區,1450,50.19,7-7/11,10.3,30.060,有車位/含車位4.160坪
2026-01-27_02-02,新竹市,13,新竹市透天,,新竹市北區大同路184巷002-050號,北區,780,35.28,1-2/2,86.7,22.110,無車位
2026-01-27_02-02,新竹市,14,專任椰城高樓採光明亮大三房平面車位緊鄰新科,,新竹市東區光復路一段89巷101-149號,東區,1646,37.6,11-11/14,27.2,43.780,有車位
2026-01-27_02-02,新竹縣,15,群新墨客稀有高鐵三房採光視野佳平車,,新竹縣竹北市隘口一街202-250號,竹北市,2750,64.74,6-6/12,9.9,52.240,有車位/含車位12.080坪
2026-01-27_02-02,新竹縣,16,專任 竹東自強學區【大樣臻美】美妝透天,,新竹縣竹東鎮北興路三段051-099號,竹東鎮,2400,47.09,-1-4/4,1.3,50.970,有車位
2026-01-27_02-02,新竹縣,17,近園區富宇居易首購大三房+平面車位,,新竹縣寶山鄉雙豐二街102-150號,寶山鄉,1850,42.32,4-4/7,9.5,49.760,有車位/含車位8.890坪
2026-01-27_02-02,新竹市,18,專任《自由曲線》超值三房平車｜近全聯、便利商店,,新竹市東區埔頂三路101-149號,東區,2190,55.64,13-13/14,14.9,42.690,有車位/含車位6.030坪
2026-01-27_02-02,新竹縣,19,芎林【大矽谷名人山莊】6房空中花園百坪雙併別墅,,新竹縣芎林鄉三民路002-050號,芎林鄉,2000,17.16,1-4/4,33.1,116.540,無車位
2026-01-27_02-02,新竹縣,20,專任|環球市稀有東南向外棟景觀四室B1大車位,,新竹縣竹東鎮光明路126巷051-099號,竹東鎮,1838,38.31,3-3/14,11,52.730,有車位/含車位8.670坪
2026-01-27_02-02,新竹縣,21,【本家芥子社區】質感裝潢電梯別墅,,新竹縣竹北市新興路52巷002-050號,竹北市,3100,39.16,1-4/4,5.4,79.170,有車位
